time,x,y,z,value
0,2.91667,-1.25,0,-1.77486e-13
0,2.91667,-0.833333,0,-1.78926e-13
0,2.91667,-0.416667,0,-1.74652e-13
0,2.91667,0,0,-1.65771e-13
0,2.91667,0.416667,0,-1.54259e-13
0,2.91667,0.833333,0,-1.42069e-13
0,2.91667,1.25,0,-1.5056e-13
0,2.91667,1.66667,0,-1.29447e-13
0,2.91667,2.08333,0,-1.2033e-13
0,2.91667,2.5,0,-1.13236e-13
0,2.91667,2.91667,0,-1.0823e-13
0,2.91667,3.33333,0,-1.05421e-13
0,2.91667,3.75,0,-1.05093e-13
0,2.91667,4.16667,0,-1.0791e-13
0,2.91667,4.58333,0,-1.15318e-13
0,2.91667,5,0,-7.84271e-14
0,3.33333,-5,0,-8.49623e-14
0,3.33333,-4.58333,0,-8.82249e-14
0,3.33333,-4.16667,0,-9.28188e-14
0,3.33333,-3.75,0,-9.86904e-14
0,3.33333,-3.33333,0,-1.05761e-13
0,3.33333,-2.91667,0,-1.13852e-13
0,3.33333,-2.5,0,-1.22604e-13
0,3.33333,-2.08333,0,-1.31391e-13
0,3.33333,-1.66667,0,-1.39305e-13
0,3.33333,-1.25,0,-1.45271e-13
0,3.33333,-0.833333,0,-1.48337e-13
0,3.33333,-0.416667,0,-1.48038e-13
0,3.33333,0,0,-1.44596e-13
0,3.33333,0.416667,0,-1.38824e-13
0,3.33333,0.833333,0,-1.31789e-13
0,3.33333,1.25,0,-1.24487e-13
0,3.33333,1.66667,0,-1.17672e-13
0,3.33333,2.08333,0,-1.11851e-13
0,3.33333,2.5,0,-1.07353e-13
0,3.33333,2.91667,0,-1.04442e-13
0,3.33333,3.33333,0,-1.03431e-13
0,3.33333,3.75,0,-1.04824e-13
0,3.33333,4.16667,0,-1.09576e-13
0,3.33333,4.58333,0,-1.1963e-13
0,3.33333,5,0,-7.47063e-14
0,3.75,-5,0,-8.4258e-14
0,3.75,-4.58333,0,-8.60814e-14
0,3.75,-4.16667,0,-8.90543e-14
0,3.75,-3.75,0,-9.3021e-14
0,3.75,-3.33333,0,-9.78225e-14
0,3.75,-2.91667,0,-1.03248e-13
0,3.75,-2.5,0,-1.08991e-13
0,3.75,-2.08333,0,-1.14626e-13
0,3.75,-1.66667,0,-1.19622e-13
0,3.75,-1.25,0,-1.23415e-13
0,3.75,-0.833333,0,-1.25536e-13
0,3.75,-0.416667,0,-1.25752e-13
0,3.75,0,0,-1.24149e-13
0,3.75,0.416667,0,-1.21105e-13
0,3.75,0.833333,0,-1.17164e-13
0,3.75,1.25,0,-1.12909e-13
0,3.75,1.66667,0,-1.08858e-13
0,3.75,2.08333,0,-1.05443e-13
0,3.75,2.5,0,-1.03029e-13
0,3.75,2.91667,0,-1.01979e-13
0,3.75,3.33333,0,-1.02753e-13
0,3.75,3.75,0,-1.0608e-13
0,3.75,4.16667,0,-1.13296e-13
0,3.75,4.58333,0,-1.27081e-13
0,3.75,5,0,-7.33946e-14
0,4.16667,-5,0,-8.48618e-14
0,4.16667,-4.58333,0,-8.52797e-14
0,4.16667,-4.16667,0,-8.68226e-14
0,4.16667,-3.75,0,-8.92528e-14
0,4.16667,-3.33333,0,-9.23653e-14
0,4.16667,-2.91667,0,-9.5945e-14
0,4.16667,-2.5,0,-9.97397e-14
0,4.16667,-2.08333,0,-1.03451e-13
0,4.16667,-1.66667,0,-1.06747e-13
0,4.16667,-1.25,0,-1.09303e-13
0,4.16667,-0.833333,0,-1.10864e-13
0,4.16667,-0.416667,0,-1.11304e-13
0,4.16667,0,0,-1.10664e-13
0,4.16667,0.416667,0,-1.09146e-13
0,4.16667,0.833333,0,-1.07061e-13
0,4.16667,1.25,0,-1.04776e-13
0,4.16667,1.66667,0,-1.02668e-13
0,4.16667,2.08333,0,-1.01103e-13
0,4.16667,2.5,0,-1.00455e-13
0,4.16667,2.91667,0,-1.01166e-13
0,4.16667,3.33333,0,-1.03855e-13
0,4.16667,3.75,0,-1.09545e-13
0,4.16667,4.16667,0,-1.20143e-13
0,4.16667,4.58333,0,-1.39407e-13
0,4.16667,5,0,-7.58153e-14
0,4.58333,-5,0,-8.7211e-14
0,4.58333,-4.58333,0,-8.61031e-14
0,4.58333,-4.16667,0,-8.62576e-14
0,4.58333,-3.75,0,-8.73383e-14
0,4.58333,-3.33333,0,-8.90906e-14
0,4.58333,-2.91667,0,-9.1291e-14
0,4.58333,-2.5,0,-9.37196e-14
0,4.58333,-2.08333,0,-9.61509e-14
0,4.58333,-1.66667,0,-9.83599e-14
0,4.58333,-1.25,0,-1.00143e-13
0,4.58333,-0.833333,0,-1.01349e-13
0,4.58333,-0.416667,0,-1.01905e-13
0,4.58333,0,0,-1.0184e-13
0,4.58333,0.416667,0,-1.01277e-13
0,4.58333,0.833333,0,-1.00421e-13
0,4.58333,1.25,0,-9.95342e-14
0,4.58333,1.66667,0,-9.89155e-14
0,4.58333,2.08333,0,-9.89045e-14
0,4.58333,2.5,0,-9.99089e-14
0,4.58333,2.91667,0,-1.02479e-13
0,4.58333,3.33333,0,-1.07466e-13
0,4.58333,3.75,0,-1.16355e-13
0,4.58333,4.16667,0,-1.31955e-13
0,4.58333,4.58333,0,-1.59004e-13
0,4.58333,5,0,-8.51574e-14
0,5,-5,0,-9.20794e-14
0,5,-4.58333,0,-8.90759e-14
0,5,-4.16667,0,-8.7692e-14
0,5,-3.75,0,-8.74315e-14
0,5,-3.33333,0,-8.79572e-14
0,5,-2.91667,0,-8.90128e-14
0,5,-2.5,0,-9.03831e-14
0,5,-2.08333,0,-9.18766e-14
0,5,-1.66667,0,-9.33226e-14
0,5,-1.25,0,-9.45794e-14
0,5,-0.833333,0,-9.55483e-14
